id,label,SLC10A2,OR2T10,NTS,SLC6A3,LINC00887,ENPP7P8,AL163636.1,SLC47A1P1,AC025627.1,TTC21B-AS1,AL109615.1,AP003465.2,AL109946.1,AC133637.1
TCGA-BP-5004-01A,0,1.104590962,0.405396562,0.667002834,6.391437712,3.667810109,2.618389,0.9550679,0.6226428,2.919368,4.028416,1.473514843,0,0.6265212,0.01095707
TCGA-BP-4765-01A,0,0.575811428,0.541570567,0.242930898,6.362132546,3.822021862,1.69421,0.6948455,0.6588431,1.243238,1.701324,4.205972089,0.0541228,2.377347,0.09077179
TCGA-BP-5009-01A,0,1.919037274,0.476469246,0.059629845,2.363197478,3.595953414,0.01173402,0.4427502,0.01470503,0.1710063,4.001053,0.547441973,0.3176385,0.9851846,0.03648999
TCGA-A3-3331-01A,0,4.074974725,0,0.28463049,6.758971053,3.477716732,0.8017638,0.6873184,0.9155834,2.032263,2.64683,5.24458093,0.3524446,0.6904628,0.09376985
TCGA-BP-4974-01A,0,1.165749123,0.37459093,0.137838144,6.506962947,3.684755721,1.291743,0.2185189,0.8957585,2.112831,1.056302,3.361135476,0.08366637,0.585761,0.1106231
TCGA-CJ-4882-01A,0,0.261667801,0,1.020716911,5.189469486,3.172256825,0.918413,0.3506229,0.4024107,0.5508197,3.207191,1.406897126,0.09084305,0.9470518,0.06669836
TCGA-A3-3351-01A,0,3.505042405,0.609010494,0.228716326,5.913698124,4.201793436,1.113454,0.7535014,1.260385,2.53241,4.427931,3.520762386,0.4120185,1.016162,0
TCGA-A3-3363-01A,0,0.324623924,0.022712522,0.01375787,0.61138105,0.833595424,0.1641855,0.7957973,0.4442133,1.304258,0.08959644,0.091521766,0.05650828,0.04056466,0
TCGA-B0-5691-01A,0,3.532066245,0.891873425,0.647683218,4.199297857,3.043515191,1.385536,0.2513299,0.0572243,1.886783,1.553401,2.4138142,0.3537961,1.452065,0
TCGA-BP-4770-01A,0,0.028977943,0.019501051,0.764274468,1.261769695,0.115138006,0,0.1181009,0.01432042,0,0.07032877,0.189572288,0.09561208,0.04344406,0.01194508
TCGA-AK-3447-01A,0,0.008261314,0,1.062521299,0.007001379,0.02244126,0.01935254,0.02075063,0,0,0,0.415622016,0,0,0
TCGA-BP-5194-01A,0,3.776242597,2.915550438,0.661044991,5.508808423,3.658455476,0.3447848,1.136613,0.4706153,1.172873,2.162446,3.113406213,0.1753406,0.1196734,0.01126728
TCGA-BP-5181-01A,0,4.071494095,1.494800354,0.238145229,5.666713041,3.470926861,0.2310241,1.322733,0.4286995,0.9594165,2.597127,2.744322293,0.06213917,0.3414918,0.01532773
TCGA-B8-5165-01A,0,2.171460149,2.351348557,0.500199522,5.010726048,3.328531116,0.9485841,0.698116,0.3298426,1.323399,3.211799,3.025321984,0,1.296522,0
TCGA-CJ-4894-01A,0,1.079006224,1.665820203,1.065887219,5.652002824,3.224729766,1.200721,0.4448331,0.4328907,1.19639,5.144515,0.860240489,0.1690567,0.1128406,0.02873019
TCGA-A3-3329-01A,0,4.159939181,0,0.490248234,6.681545719,3.732369644,2.011509,0.9885571,1.432057,1.445767,4.379006,0.706863156,0.2543657,0.3701552,0.01677853
TCGA-B0-4698-01A,0,0.005380693,0,0.113335751,0.06255634,0.029135456,0.03753776,0.01353551,0,0.0813799,0.02369597,0.086876434,0,0.02894914,0
TCGA-B0-4713-01A,0,0.119511267,2.240039263,1.8633938,3.926881466,1.495067635,0.9145119,0.7391519,0.4669435,1.34079,5.016151,2.752438275,0,0.4164446,0.08497733
TCGA-CJ-4886-01A,0,3.84177706,0.564891231,1.244372604,5.516172734,3.2298373,1.637446,0.7696437,0.3140829,1.304569,1.31145,2.870861429,0,0.6291071,0.0161564
TCGA-CJ-4870-01A,0,0.712456894,0,1.752469415,5.467950994,3.343543903,0.9475055,0.8074774,0.4582752,0.6602981,5.358989,2.771918978,0.135897,0,0.05096333
